T (K),Liquid fraction (%),Density (kg/m^3),Thermal conductivity (W/(m*K)),Enthalpy (J/kg),Specific enthalpy (J/kg),Specific heat (J/(Kg K)), Latent heat (J/Kg)
530,0,7674.75,19.629,180920.95,250179.2,537.88,0
525,0,7676.39,19.566,178241.44,247489.8,535.9,0
520,0,7678.03,19.504,175571.74,244810.3,533.94,0
515,0,7679.66,19.442,172911.75,242140.6,532,0
510,0,7681.29,19.379,170261.41,239480.6,530.07,0
505,0,7682.91,19.317,167620.63,236830.25,528.16,0
500,0,7684.53,19.254,164989.34,234189.45,526.26,0
495,0,7686.15,19.192,162367.48,231558.15,524.37,0
490,0,7687.77,19.13,159754.97,228936.3,522.5,0
485,0,7689.38,19.067,157151.75,226323.8,520.64,0
480,0,7690.99,19.005,154557.77,223720.6,518.8,0
475,0,7692.6,18.943,151972.95,221126.6,516.96,0
470,0,7694.2,18.88,149397.26,218541.8,515.14,0
465,0,7695.81,18.818,146830.63,215966.1,513.33,0
460,0,7697.4,18.755,144273.02,213399.45,511.52,0
455,0,7699,18.693,141724.38,210841.85,509.73,0
450,0,7700.59,18.631,139184.68,208293.2,507.94,0
445,0,7702.18,18.568,136653.87,205753.5,506.16,0
440,0,7703.76,18.506,134131.92,203222.7,504.39,0
435,0,7705.35,18.443,131618.8,200700.75,502.62,0
430,0,7706.93,18.381,129114.48,198187.65,500.86,0
425,0,7708.5,18.319,126618.95,195683.35,499.11,0
420,0,7710.08,18.256,124132.18,193187.8,497.35,0
415,0,7711.65,18.194,121654.17,190701.05,495.6,0
410,0,7713.21,18.131,119184.89,188223.05,493.86,0
405,0,7714.78,18.069,116724.35,185753.75,492.11,0
400,0,7716.34,18.006,114272.55,183293.2,490.36,0
395,0,7717.9,17.944,111829.5,180841.4,488.61,0
390,0,7719.45,17.882,109395.2,178398.35,486.86,0
385,0,7721,17.819,106969.67,175964.05,485.1,0
380,0,7722.55,17.757,104552.94,173538.55,483.35,0
375,0,7724.1,17.694,102145.05,171121.8,481.58,0
370,0,7725.64,17.632,99746.01,168713.9,479.81,0
365,0,7727.18,17.569,97355.88,166314.85,478.03,0
360,0,7728.71,17.507,94974.72,163924.7,476.23,0
355,0,7730.24,17.444,92602.57,161543.55,474.43,0
350,0,7731.77,17.382,90239.51,159171.4,472.61,0
345,0,7733.3,17.319,87885.62,156808.35,470.78,0
340,0,7734.82,17.257,85540.98,154454.45,468.93,0
335,0,7736.34,17.194,83205.68,152109.8,467.06,0
330,0,7737.86,17.131,80879.85,149774.5,465.17,0
325,0,7739.37,17.069,78563.59,147448.65,463.25,0
320,0,7740.88,17.006,76257.04,145132.4,461.31,0
315,0,7742.39,16.944,73960.35,142825.85,459.34,0
310,0,7743.9,16.881,71673.68,140529.15,457.33,0
305,0,7745.4,16.819,69397.2,138242.5,455.3,0
300,0,7746.89,16.756,67131.11,135966,453.22,0
